org_name,org_website,org_type,source_link,source_type,access_status,opportunity_type,geographic_focus,mediums_supported,estimated_opp_per_year
Interlude Residency,https://artist.callforentry.org/festivals_unique_info.php?ID=16721,Arts Organization,https://artistcommunities.org/directory/open-calls/interludes-2026-open-call,open-calls,open,residency,"New York, United States",multidisciplinary,2026-03-07 00:00:00
Sitka Center for Art and Ecology,https://sitkacenter.org/apply,Arts Organization,https://artistcommunities.org/directory/open-calls/sitka-residency-october-2026-april-2027,open-calls,open,residency,"Oregon, United States",multidisciplinary,2026-03-10 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOx49,Arts Organization,https://artistcommunities.org/directory/open-calls/computational-writing-2026,open-calls,open,residency,"Alberta, Canada",writing,2026-03-11 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOxB6,Arts Organization,https://artistcommunities.org/directory/open-calls/plan-strategic-foresight-cultural-leadership,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-03-17 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKqrK,Arts Organization,https://artistcommunities.org/directory/open-calls/moonlighter-film-camp-field-skills,open-calls,open,residency,"Alberta, Canada",film,2026-03-25 00:00:00
Camp Wonder Wander,https://www.sarasvati.space/,Arts Organization,https://artistcommunities.org/directory/open-calls/spring-pops-mayjune-tennessee,open-calls,open,residency,"Tennessee, United States",multidisciplinary,2026-03-30 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/large-format-residency-summer-and-fall-2026,open-calls,open,residency,Portugal,printmaking,2026-03-31 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-artist-book-residency-fall-and-winter-20267,open-calls,open,residency,Portugal,book arts,2026-04-01 00:00:00
Mudhouse Residency,https://www.mudhouseresidency.com/apply,Arts Organization,https://artistcommunities.org/directory/open-calls/general-acceptance-mudhouse-artist-residency-2026,open-calls,open,residency,Greece,multidisciplinary,2026-04-01 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOx87,Arts Organization,https://artistcommunities.org/directory/open-calls/sports-writing-2026,open-calls,open,residency,"Alberta, Canada",writing,2026-04-08 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKqoU,Arts Organization,https://artistcommunities.org/directory/open-calls/adventure-filmmakers-workshop-2026,open-calls,open,residency,"Alberta, Canada",film,2026-04-15 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKqm3,Arts Organization,https://artistcommunities.org/directory/open-calls/mountain-writers-intensive-2026,open-calls,open,residency,"Alberta, Canada",writing,2026-04-15 00:00:00
´ace,https://www.proyectoace.org/en/residencies/production-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/second-open-call-2026-production-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-04-30 00:00:00
Camp Wonder Wander,https://artistcommunities.org/directory/open-calls/homestead-experience-july-2026,Arts Organization,https://artistcommunities.org/directory/open-calls/homestead-experience-july-2026,open-calls,open,residency,"Tennessee, United States",multidisciplinary,2026-04-30 00:00:00
´ace,https://www.proyectoace.org/en/residencies/production-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/second-open-call-2026-exploration-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-04-30 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-tiles-residency-2026,open-calls,open,residency,Portugal,tiles,2026-05-11 00:00:00
Monson Arts,https://monsonarts.org/residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/fall-2026-open-call,open-calls,open,residency,"Maine, United States",multidisciplinary,2026-05-15 00:00:00
Camp Wonder Wander,https://www.sarasvati.space/,Arts Organization,https://artistcommunities.org/directory/open-calls/autumnal-harvest-season,open-calls,open,residency,"Tennessee, United States",multidisciplinary,2026-05-31 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOxDY,Arts Organization,https://artistcommunities.org/directory/open-calls/data-relational-direction-evaluative-practices-cultural-leaders,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-06-30 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-cyanotype-residency,open-calls,open,residency,Portugal,photography,2026-07-12 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOxHl,Arts Organization,https://artistcommunities.org/directory/open-calls/moonlighter-film-camp-concept-completion,open-calls,open,residency,"Alberta, Canada",film,2026-07-22 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-ceramics-furniture-making-residency,open-calls,open,residency,Portugal,ceramics,2026-07-25 00:00:00
Camp Wonder Wander,https://www.sarasvati.space/writerretreats,Arts Organization,https://artistcommunities.org/directory/open-calls/taste-tennessee-writer-retreats,open-calls,open,residency,"Tennessee, United States",writing,2026-07-31 00:00:00
´ace,https://www.proyectoace.org/en/residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/third-open-call-2026-exploration-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-07-31 00:00:00
´ace,https://www.proyectoace.org/en/residencies/production-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/third-open-call-2026-production-residency,open-calls,open,residency,Argentina,multidisciplinary,2026-07-31 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-screen-printing-residency,open-calls,open,residency,Portugal,screen printing,2026-08-10 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgKq4Y,Arts Organization,https://artistcommunities.org/directory/open-calls/cultural-leadership-reflecting-forward-wise-practices-november-2026,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-08-11 00:00:00
Camp Wonder Wander,https://www.sarasvati.space/japan-2027,Arts Organization,https://artistcommunities.org/directory/open-calls/japan-2027-2028-group-travel,open-calls,open,residency,"Tennessee, United States",travel,2026-08-16 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-multidisciplinary-art-residency-winter-and-spring-2027,open-calls,open,residency,Portugal,multidisciplinary,2026-08-31 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOxEh,Arts Organization,https://artistcommunities.org/directory/open-calls/reimagining-cultural-policy-leading-change-across-governance-systems,open-calls,open,residency,"Alberta, Canada",multidisciplinary,2026-09-08 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-ceramics-figure-sculpting-residency,open-calls,open,residency,Portugal,ceramics,2026-09-10 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-multidisciplinary-art-residency-summer-and-fall-2025,open-calls,open,residency,Portugal,multidisciplinary,2026-09-30 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-photography-residency-2027,open-calls,open,residency,Portugal,photography,2026-10-07 00:00:00
Aviário Studio,https://www.aviariostudio.eu/apply-now,Arts Organization,https://artistcommunities.org/directory/open-calls/aviario-studio-printmaking-residency-winterspring-2026-27,open-calls,open,residency,Portugal,printmaking,2026-10-17 00:00:00
Banff Centre for Arts & Creativity,http://url.banffcentre.ca/bgOxJD,Arts Organization,https://artistcommunities.org/directory/open-calls/moonlighter-film-camp-post-production,open-calls,open,residency,"Alberta, Canada",film,2026-10-28 00:00:00
´ace,https://www.proyectoace.org/en/residencies/micro-residencies/,Arts Organization,https://artistcommunities.org/directory/open-calls/micro-residencies-open-call-2026,open-calls,open,residency,"Buenos Aires, Argentina",multidisciplinary,2026-10-31 00:00:00
"Write On, Door County",https://writeondoorcounty.org/get-inspired-2/,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-dick-scuglik-memorial-fellowship-and-residency,open-calls,open,residency,"Wisconsin, United States",writing,2026-01-15 00:00:00
Emmanuel College Artist Residency,http://www.emmanuel.edu/ecar,Arts Organization,https://artistcommunities.org/directory/open-calls/emmanuel-college-artist-residency-ecar,open-calls,open,residency,"Massachusetts, United States",multidisciplinary,2026-01-15 00:00:00
Hambidge Center for Creative Arts and Sciences,https://www.hambidge.org/guidelines-apply,Arts Organization,https://artistcommunities.org/directory/open-calls/summer-session-june-august,open-calls,open,residency,"Georgia, United States",multidisciplinary,2026-01-15 00:00:00
Tides Institute & Museum of Art,https://studioworks.submittable.com/submit,Arts Organization,https://artistcommunities.org/directory/open-calls/2026-artist-residence-application,open-calls,open,residency,"Maine, United States",multidisciplinary,2026-01-15 00:00:00
Dorland Mountain Arts,https://www.dorlandmountainarts.org/the-residency-program,Arts Organization,https://artistcommunities.org/directory/open-calls/creative-california-dorland-mountain-arts,open-calls,open,residency,"California, United States",multidisciplinary,2026-01-15 00:00:00
Truro Center For The Arts At Castle Hill,https://castlehillresidency.submittable.com/submit/87907/artist-residency-application-castle-hill-at-edgewood-farm,Arts Organization,https://artistcommunities.org/directory/open-calls/artist-residency-edgewood-farm-truro,open-calls,open,residency,"Massachusetts, United States",multidisciplinary,2026-01-15 00:00:00
Ucross,https://ucrossfoundation.submittable.com/submit,Arts Organization,https://artistcommunities.org/directory/open-calls/ucross-fall-2026-artist-residency-open-call,open-calls,open,residency,"Wyoming, United States",multidisciplinary,2026-01-15 00:00:00
Ucross,https://ucrossfoundation.submittable.com/submit,Arts Organization,https://artistcommunities.org/directory/open-calls/ucross-native-american-fellowships-visual-artists-and-writers-fall-2026-open,open-calls,open,residency,"Wyoming, United States",multidisciplinary,2026-01-15 00:00:00
