https://www.proyectoace.org/en/residencies/production-residencies/,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Craig ardan,https://www.craigardan.org/,Residency Center,https://fundsforwriters.com/grants/,A,open,residencies,"New York, USA (Adirondacks)",multidisciplinary,2026-05-10 00:00:00,Low,$250/week highly subsidized Elizabethtown NY Adirondack Mountains,2026-01-16 00:00:00
Boehm Media Fellowship,https://ocimpact.com/,Fellowship Program,https://fundsforwriters.com/grants/,A,open,fellowships,International,"media, communication",2026-01-05 00:00:00,Medium,Opportunity Collaboration delegates for media/storytelling social impact,2026-01-16 00:00:00
National Parks Service,https://www.nps.gov/subjects/arts/air.htm,Government Body,https://fundsforwriters.com/grants/,A,open,residencies,USA,multidisciplinary,10+,Medium,Artist-in-Residence 50+ locations 2-4 weeks lodging often included,2026-01-16 00:00:00
Clayton Memorial Fund,https://osfci.org/clayton/,Fund,https://fundsforwriters.com/grants/,A,demographic-specific,medical assistance,Pacific NW USA,SFF/mystery writers,2026-01-05 00:00:00,Medium,Medical expense help for writers OR/WA/ID/AK,2026-01-16 00:00:00
SFWA (Science Fiction Writers of America),https://www.sfwa.org/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,emergency grants,USA,SFF writers,2026-01-05 00:00:00,Medium,Emergency Medical Fund for genre writers short-term medical expenses,2026-01-16 00:00:00
Carnegie Fund for Authors,https://www.carnegiefundforauthors.org/,Fund,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,literary arts,2026-01-05 00:00:00,Medium,Grants for published authors in emergency financial need,2026-01-16 00:00:00
Woodcock Fund,https://www.writerstrust.com/,Fund,https://fundsforwriters.com/grants/,A,open,emergency grants,Canada,literary arts,2026-01-05 00:00:00,Medium,$2000-$10000 emergency funding Canadian writers mid-project,2026-01-16 00:00:00
Unbound,https://unbound.co.uk/,Crowdfunding Platform,https://fundsforwriters.com/grants/,E,open,publishing crowdfunding,UK,literary arts,unknown,Low,Funding platform + publisher 50/50 profit split UK-based,2026-01-16 00:00:00
Louisiana Division of the Arts,https://www.crt.state.la.us/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Louisiana, USA",multidisciplinary,10+,Medium,Project Grants $2500-$7500 through 9 Regional Arts Councils,2026-01-16 00:00:00
Georgia Writers Association,https://www.georgiawriters.org/,Professional Organization,https://fundsforwriters.com/grants/,A,open,"roster, grants","Georgia, USA",literary arts,2026-05-10 00:00:00,Medium,"Georgia Writers Registry, Literary Event Grants $50-$250",2026-01-16 00:00:00
18th Street Arts Center,https://18thstreet.org/,Arts Center,https://fundsforwriters.com/grants/,A,fee-based,residencies,"California, USA",multidisciplinary,10+,Low,Visiting Artist Residency studio rental required Santa Monica,2026-01-16 00:00:00
Ohio Arts Council,https://oac.ohio.gov/,Government Body,https://fundsforwriters.com/grants/,A,demographic-specific,grants,"Ohio, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Artists with Disabilities Access Program $500-$2500,2026-01-16 00:00:00
Hatchfund,https://www.hatchfund.org/,Crowdfunding Platform,https://fundsforwriters.com/grants/,E,open,fiscal sponsorship,USA,multidisciplinary,unknown,Low,Free crowdfunding for artists donors pay 5% plus processing no platform fee,2026-01-16 00:00:00
Fractured Atlas,https://www.fracturedatlas.org/,Fiscal Sponsor,https://fundsforwriters.com/grants/,E,open,fiscal sponsorship,USA,multidisciplinary,unknown,Medium,Fiscal sponsorship nationwide all disciplines grants access without 501c3,2026-01-16 00:00:00
Massachusetts Cultural Council,https://massculturalcouncil.org/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Massachusetts, USA",multidisciplinary,10+,High,Local Cultural Council Program largest grassroots cultural funding network,2026-01-16 00:00:00
Montana Arts Council,https://art.mt.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Montana, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Strategic Investment Grants up to $1000 monthly deadlines,2026-01-16 00:00:00
Mississippi Arts Commission,https://arts.ms.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,roster,"Mississippi, USA",multidisciplinary,10+,Medium,Artist Roster Teaching Artist 3-year term fees paid by Commission,2026-01-16 00:00:00
Center for the Arts New Hampshire,https://centerfortheartsnh.org/,Arts Center,https://fundsforwriters.com/grants/,A,membership,emergency grants,"New Hampshire, USA",multidisciplinary,2026-01-05 00:00:00,Low,Artists Emergency Relief Fund up to $500 for CFA members,2026-01-16 00:00:00
Art Leaders of Color Network,https://aacnetwork.org/,Organization,https://fundsforwriters.com/grants/,A,demographic-specific,emergency grants,USA,multidisciplinary,2026-01-05 00:00:00,Low,$200 microgrants for BIPOC artists/arts administrators COVID-19,2026-01-16 00:00:00
Shenandoah Literary Magazine,https://shenandoahliterary.org/,Literary Magazine,https://fundsforwriters.com/grants/,A,demographic-specific,fellowships,USA,literary arts,2026-01-05 00:00:00,Medium,$1000 fellowships BIPOC Editors to curate issue,2026-01-16 00:00:00
Hosking Houses Trust,https://hoskinghouses.co.uk/,Trust,https://fundsforwriters.com/grants/,A,demographic-specific,residencies,UK,literary arts,2026-01-05 00:00:00,Medium,Older women writers residencies with bursaries Church Cottage Stratford-upon-Avon,2026-01-16 00:00:00
Wellstone Center Redwoods,https://www.wellstoneredwoods.org/,Residency Center,https://fundsforwriters.com/grants/,A,demographic-specific,fellowships,"California, USA",journalism,2026-01-05 00:00:00,Low,Mary C. Curtis Fellowship 2-week for African American journalists book proposal,2026-01-16 00:00:00
Greater Pittsburgh Arts Council (emergency),https://www.pittsburghartscouncil.org/,Arts Council,https://fundsforwriters.com/grants/,A,open,emergency grants,"Pennsylvania, USA (9 counties)",multidisciplinary,2026-01-05 00:00:00,Low,Emergency Fund up to $500 for artists/creative workers,2026-01-16 00:00:00
Philadelphia 215 Festival,https://www.215festival.org/,Organization,https://fundsforwriters.com/grants/,A,open,emergency grants,"Pennsylvania, USA (greater Phila)",literary arts,2026-01-05 00:00:00,Low,Writers Emergency Fund for writers/booksellers/indie press workers,2026-01-16 00:00:00
Authors League Fund,https://authorsleaguefund.org/,Fund,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,literary arts,2026-01-05 00:00:00,Medium,Helps professional authors in financial need since 1917,2026-01-16 00:00:00
